,dataset,model,col_to_encode_with_new,features,new_encoder_name,roc_auc,col_to_encode_with_new_no_column,features_no_column,new_encoder_name_no_column,roc_auc_no_column,features_drop,new_encoder_name_drop,roc_auc_drop,dataset_col,gain,gain_percentage,mean_length,cardinality,cardinality_div_by_nrows,mean_word_length,mean_word_length_unique,ngrams,ngrams_div_by_nrows,ngrams_div_by_length,ngarms_div_by_length_and_nrows,prop_shared_ngrams
11,company_employees,GradientBoostingClassifier,industry,all,openai__,0.5924000112565475,no_column,all,openai__,0.5929519790222331,all,drop,0.5854731008645541,company_employees__industry,-0.0005519677656855571,-0.09308810581857603,16.503,104,0.104,1.995,1.995,2000,2.0,121.19008665091195,0.12119008665091195,0.021754499999999982
12,company_employees,GradientBoostingClassifier,linkedin_url,all,lm__BAAI/bge-large-en-v1.5,0.6147893808460215,no_column,all,openai__,0.5929519790222331,all,drop,0.5925666605724045,company_employees__linkedin_url,0.02183740182378846,3.6828280529222512,36.188,1000,1.0,1.0,1.0,10640,10.64,294.02011716591136,0.29402011716591137,0.009639473684210517
13,company_employees,GradientBoostingClassifier,linkedin_url,all,openai__,0.6299828485365057,no_column,all,openai__,0.5929519790222331,all,drop,0.5925666605724045,company_employees__linkedin_url,0.03703086951427259,6.245171754943093,36.188,1000,1.0,1.0,1.0,10640,10.64,294.02011716591136,0.29402011716591137,0.009639473684210517
14,company_employees,GradientBoostingClassifier,locality,all,lm__BAAI/bge-large-en-v1.5,0.5947210985199881,no_column,all,openai__,0.5929519790222331,all,drop,0.5690831531311487,company_employees__locality,0.001769119497755045,0.29835797169819567,32.694,593,0.593,4.189,3.984,7706,7.706,235.70074019697802,0.235700740196978,0.011949390085647566
15,company_employees,GradientBoostingClassifier,locality,all,openai__,0.5991735289533662,no_column,all,openai__,0.5929519790222331,all,drop,0.5690831531311487,company_employees__locality,0.006221549931133108,1.049250217765076,32.694,593,0.593,4.189,3.984,7706,7.706,235.70074019697802,0.235700740196978,0.011949390085647566
16,company_employees,GradientBoostingClassifier,name,all,lm__BAAI/bge-large-en-v1.5,0.6418911571233435,no_column,all,openai__,0.5929519790222331,all,drop,0.597252794927093,company_employees__name,0.04893917810111048,8.253480860593514,17.487,1000,1.0,1.0,1.0,11199,11.199,640.4185966718134,0.6404185966718133,0.004148673988748991
17,company_employees,GradientBoostingClassifier,name,all,openai__,0.6028215172056705,no_column,all,openai__,0.5929519790222331,all,drop,0.597252794927093,company_employees__name,0.009869538183437387,1.664475123215218,17.487,1000,1.0,1.0,1.0,11199,11.199,640.4185966718134,0.6404185966718133,0.004148673988748991
18,employee-remuneration-and-expenses-earning-over-75000,GradientBoostingClassifier,Title,all,lm__BAAI/bge-large-en-v1.5,0.8688518065066608,no_column,all,openai__,0.8422327674517992,all,drop,0.7209068889313862,employee-remuneration-and-expenses-earning-over-75000__Title,0.026619039054861626,3.160532347298519,19.197,352,0.352,2.528,2.528,3488,3.488,181.6950565192478,0.1816950565192478,0.014789277522935768
19,employee-remuneration-and-expenses-earning-over-75000,GradientBoostingClassifier,Title,all,openai__,0.865263065063166,no_column,all,openai__,0.8422327674517992,all,drop,0.7209068889313862,employee-remuneration-and-expenses-earning-over-75000__Title,0.023030297611366768,2.7344338170367832,19.197,352,0.352,2.528,2.528,3488,3.488,181.6950565192478,0.1816950565192478,0.014789277522935768
20,employee_salary,GradientBoostingClassifier,employee_position_title,all,lm__BAAI/bge-large-en-v1.5,0.9727041043494637,no_column,all,openai__,0.9692695000035929,all,drop,0.8987668506914945,employee_salary__employee_position_title,0.0034346043458708397,0.3543497805159564,23.065,211,0.211,3.019,3.019,2572,2.572,111.51094732278344,0.11151094732278344,0.024570373250388782
21,employee_salary,GradientBoostingClassifier,employee_position_title,all,openai__,0.9737696052208177,no_column,all,openai__,0.9692695000035929,all,drop,0.8987668506914945,employee_salary__employee_position_title,0.00450010521722477,0.46427801733244356,23.065,211,0.211,3.019,3.019,2572,2.572,111.51094732278344,0.11151094732278344,0.024570373250388782
22,goodreads,GradientBoostingClassifier,Description,all,lm__BAAI/bge-large-en-v1.5,0.6743672128385835,no_column,all,openai__,0.6464040210327365,all,drop,0.6476569901403978,goodreads__Description,0.027963191805846943,4.325961921024432,867.424,958,0.958,142.526,99.356,63548,63.548,73.26059689379127,0.07326059689379127,0.04085535343362538
23,goodreads,GradientBoostingClassifier,Description,all,openai__,0.6717375058227939,no_column,all,openai__,0.6464040210327365,all,drop,0.6476569901403978,goodreads__Description,0.02533348479005737,3.9191409653645053,867.424,958,0.958,142.526,99.356,63548,63.548,73.26059689379127,0.07326059689379127,0.04085535343362538
24,goodreads,GradientBoostingClassifier,FirstAuthor,all,lm__BAAI/bge-large-en-v1.5,0.6518195220229567,no_column,all,openai__,0.6464040210327365,all,drop,0.6454310244023063,goodreads__FirstAuthor,0.005415500990220146,0.8377888772362514,14.13,927,0.927,2.24,2.238,9792,9.792,692.9936305732484,0.6929936305732485,0.0037055759803921585
25,goodreads,GradientBoostingClassifier,FirstAuthor,all,openai__,0.6533318093692421,no_column,all,openai__,0.6464040210327365,all,drop,0.6454310244023063,goodreads__FirstAuthor,0.006927788336505536,1.0717427663022976,14.13,927,0.927,2.24,2.238,9792,9.792,692.9936305732484,0.6929936305732485,0.0037055759803921585
26,goodreads,GradientBoostingClassifier,NumberofReviews,all,lm__BAAI/bge-large-en-v1.5,0.6448839955402172,no_column,all,openai__,0.6464040210327365,all,drop,0.6428200372120473,goodreads__NumberofReviews,-0.0015200254925192835,-0.2351509958262316,1.271,101,0.101,1.0,1.0,122,0.122,95.98741148701811,0.0959874114870181,0.0025983606557377047
27,goodreads,GradientBoostingClassifier,NumberofReviews,all,openai__,0.6458482202671962,no_column,all,openai__,0.6464040210327365,all,drop,0.6428200372120473,goodreads__NumberofReviews,-0.000555800765540293,-0.08598349444861282,1.271,101,0.101,1.0,1.0,122,0.122,95.98741148701811,0.0959874114870181,0.0025983606557377047
28,goodreads,GradientBoostingClassifier,PublishDate,all,lm__BAAI/bge-large-en-v1.5,0.6472519511027797,no_column,all,openai__,0.6464040210327365,all,drop,0.6368977146213898,goodreads__PublishDate,0.0008479300700431347,0.13117648443591476,15.088,788,0.788,2.88,2.88,779,0.779,51.630434782608695,0.051630434782608696,0.050404364569961495
29,goodreads,GradientBoostingClassifier,PublishDate,all,openai__,0.6431863381041062,no_column,all,openai__,0.6464040210327365,all,drop,0.6368977146213898,goodreads__PublishDate,-0.0032176829286303388,-0.497782010001974,15.088,788,0.788,2.88,2.88,779,0.779,51.630434782608695,0.051630434782608696,0.050404364569961495
