dataset,encoder_name,match_score,recall,precision,f1
SoccerLeague,lm__all-MiniLM-L6-v2,0.9,0.12184873949579832,0.7073170731707317,0.2078853046594982
SoccerLeague,lm__all-MiniLM-L6-v2,0.8,0.35714285714285715,0.7522123893805309,0.48433048433048437
SoccerLeague,lm__all-MiniLM-L6-v2,0.7,0.542016806722689,0.7087912087912088,0.6142857142857143
SoccerLeague,lm__all-MiniLM-L6-v2,0.6,0.6092436974789915,0.6359649122807017,0.6223175965665235
SoccerLeague,lm__all-MiniLM-L6-v2,0.5,0.6134453781512605,0.6134453781512605,0.6134453781512605
SoccerLeague,lm__all-MiniLM-L6-v2,0.4,0.6134453781512605,0.6134453781512605,0.6134453781512605
SoccerLeague,lm__all-MiniLM-L6-v2,0.3,0.6134453781512605,0.6134453781512605,0.6134453781512605
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.9,0.44482758620689655,0.9280575539568345,0.6013986013986015
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.8,0.7137931034482758,0.9366515837104072,0.8101761252446184
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.7,0.8413793103448276,0.9104477611940298,0.8745519713261648
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.6,0.8793103448275862,0.8823529411764706,0.8808290155440414
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.5,0.8827586206896552,0.8827586206896552,0.8827586206896552
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.4,0.8827586206896552,0.8827586206896552,0.8827586206896552
SoccerTournament,lm__BAAI/bge-large-en-v1.5,0.3,0.8827586206896552,0.8827586206896552,0.8827586206896552
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.9,0.5482758620689655,0.9352941176470588,0.6913043478260869
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.8,0.7310344827586207,0.9380530973451328,0.8217054263565892
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.7,0.8620689655172413,0.9259259259259259,0.8928571428571429
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.6,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.5,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.4,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__BAAI/bge-base-en-v1.5,0.3,0.896551724137931,0.896551724137931,0.896551724137931
SoccerTournament,lm__llmrails/ember-v1,0.9,0.4413793103448276,0.9343065693430657,0.5995316159250585
