dataset,target,recall,precision,f1
Hospital,0.3,0.669260700389105,0.8472906403940886,0.7478260869565218
Legislature,0.3,0.8055555555555556,0.9015544041450777,0.8508557457212715
Magazine,0.3,0.8248175182481752,0.9224489795918367,0.8709055876685934
MemberOfParliament,0.3,0.8489065606361829,0.8626262626262626,0.8557114228456915
Monarch,0.3,0.7975206611570248,0.8143459915611815,0.8058455114822548
MotorsportSeason,0.3,0.8994845360824743,0.9509536784741145,0.9245033112582782
Museum,0.3,0.6885245901639344,0.8860759493670886,0.7749077490774907
NCAATeamSeason,0.3,0.9705882352941176,1.0,0.9850746268656716
NationalFootballLeagueSeason,0.3,1.0,1.0,1.0
NaturalEvent,0.3,0.6470588235294118,0.9428571428571428,0.7674418604651163
Noble,0.3,0.7335164835164835,0.8066465256797583,0.7683453237410072
PoliticalParty,0.3,0.5717171717171717,0.8226744186046512,0.6746126340882003
Race,0.3,0.42857142857142855,0.6944444444444444,0.5300353356890459
RailwayLine,0.3,0.6912751677852349,0.8110236220472441,0.7463768115942029
Reptile,0.3,0.9679715302491103,0.8095238095238095,0.8816855753646677
RugbyLeague,0.3,0.5862068965517241,0.7555555555555555,0.6601941747572815
ShoppingMall,0.3,0.9371069182389937,0.7487437185929648,0.8324022346368716
SoccerClubSeason,0.3,0.9803921568627451,0.9259259259259259,0.9523809523809523
SoccerLeague,0.3,0.5,0.6761363636363636,0.5748792270531401
SoccerTournament,0.3,0.8655172413793103,0.8900709219858156,0.8776223776223777
Song,0.3,0.9227272727272727,0.9376443418013857,0.9301260022909508
SportFacility,0.3,0.5059523809523809,0.8,0.6198723792160438
SportsLeague,0.3,0.501039501039501,0.7194029850746269,0.5906862745098039
Stadium,0.3,0.48465266558966075,0.7653061224489796,0.5934718100890208
TelevisionStation,0.3,0.4722222222222222,0.7513812154696132,0.579957356076759
TennisTournament,0.3,0.7777777777777778,1.0,0.8750000000000001
Tournament,0.3,0.7124183006535948,0.8134328358208955,0.759581881533101
UnitOfWork,0.3,0.9631578947368421,0.9014778325123153,0.9312977099236641
Venue,0.3,0.6354166666666666,0.8621908127208481,0.7316341829085458
Wrestler,0.3,0.3017241379310345,0.7291666666666666,0.42682926829268286
